task_name,university,school_year,course_name,course_code,credit,task_mode,task_type,task_weight_percent,due_date,due_time,time_required_hours,difficulty,current_date_(today),#_days_left,current_progress_percent,time_spent_hours,priority_level
Assignment 3,McMaster Univeristy,5,Computer Graphics,COMPSCI 3GC3,3,Individual,Assignment,10.0,2023-12-01,11:59pm,8.0,4.0,2023-11-13,17,0.0,0.0,2
FInal Exam,McMaster Univeristy,5,COMMERCE 4PA3 - Business Policy,COMMERCE 4PA3,3,Individual,Exam,25.0,2023-11-30,11:59pm,30.0,5.0,2023-11-13,16,10.0,3.0,2
Final Presentation,McMaster Univeristy,5,COMMERCE 4PA3 - Business Policy,COMMERCE 4PA3,3,Group,Presentation,15.0,2023-11-15,10:05am,5.0,3.0,2023-11-13,0,85.0,20.0,5
Project part 1: fixed-wing aircraft simulation,University of Toronto,6,AER1216 Fundamental of UAV,AER1216,1,Group,Project,25.0,2023-12-14,9:00am,30.0,2.0,2023-11-13,30,0.0,0.0,4
Assignment 3,University of Toronto,6,State Estimation,AER1513,1,Individual,Assignment,20.0,2023-12-14,9:00am,10.0,2.0,2023-11-13,32,0.0,0.0,3
Final Project,Duke Univeristy,6,Applied BioStatistics,BIOSTATS702,3,Individual,Project,20.0,2023-12-13,9:00am,30.0,4.0,2023-11-13,28,10.0,3.0,2
Final Presentation,Duke Univeristy,6,Introduction to Statistical Theory and Methods,BIOSTAT 701,3,Group,Presentation,15.0,2023-11-15,10:00am,5.0,3.0,2023-11-13,2,85.0,20.0,5
Assignment 1,McMaster Univeristy,5, Predictive and Intelligent Control,MECHTRON 4AX3,3,Individual,Assignment,4.0,2023-10-03,11:59pm,10.0,2.0,2023-11-13,0,0.0,0.0,1
Group Assignment1,McMaster Univeristy,1,Organizational Behaviour,Commerce 1BA3,3,Group,Assignment,10.0,2023-10-06,11:59pm,3.0,2.0,2023-11-12,0,0.0,0.0,1
Group Assignment2,McMaster Univeristy,1,Organizational Behaviour,Commerce 1BA3,3,Group,Assignment,10.0,2023-10-27,11:59pm,3.0,3.0,2023-11-12,0,0.0,0.0,1
